village,plot_number,category
village_Malatavadi,1,Category B: Multiple possible alignments
village_Malatavadi,10,Category B: Multiple possible alignments
village_Malatavadi,100,Category B: Multiple possible alignments
village_Malatavadi,1000,Category B: Multiple possible alignments
village_Malatavadi,1001,Category B: Multiple possible alignments
village_Malatavadi,1002,Category B: Multiple possible alignments
village_Malatavadi,1003,Category B: Multiple possible alignments
village_Malatavadi,1004,Category B: Multiple possible alignments
village_Malatavadi,1005,Category B: Multiple possible alignments
village_Malatavadi,1006/A,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1006/B,Category B: Multiple possible alignments
village_Malatavadi,1007,Category B: Multiple possible alignments
village_Malatavadi,1008,Category B: Multiple possible alignments
village_Malatavadi,1009,Category B: Multiple possible alignments
village_Malatavadi,101,Category B: Multiple possible alignments
village_Malatavadi,1010,Category B: Multiple possible alignments
village_Malatavadi,1011,Category B: Multiple possible alignments
village_Malatavadi,1012,Category B: Multiple possible alignments
village_Malatavadi,1013,Category B: Multiple possible alignments
village_Malatavadi,1014,Category B: Multiple possible alignments
village_Malatavadi,1015,Category B: Multiple possible alignments
village_Malatavadi,1016,Category B: Multiple possible alignments
village_Malatavadi,1017,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1018,Category B: Multiple possible alignments
village_Malatavadi,1019,Category B: Multiple possible alignments
village_Malatavadi,102,Category B: Multiple possible alignments
village_Malatavadi,1020,Category B: Multiple possible alignments
village_Malatavadi,1021,Category D: Optimizer stuck in local optimum
village_Malatavadi,1022,Category B: Multiple possible alignments
village_Malatavadi,1023,Category B: Multiple possible alignments
village_Malatavadi,1024,Category B: Multiple possible alignments
village_Malatavadi,1025,Category B: Multiple possible alignments
village_Malatavadi,1026,Category B: Multiple possible alignments
village_Malatavadi,1027,Category B: Multiple possible alignments
village_Malatavadi,1028,Category B: Multiple possible alignments
village_Malatavadi,1029,Category B: Multiple possible alignments
village_Malatavadi,103,Category B: Multiple possible alignments
village_Malatavadi,1030,Category B: Multiple possible alignments
village_Malatavadi,1031,Category E: Global shift incorrect
village_Malatavadi,1032,Category B: Multiple possible alignments
village_Malatavadi,1033,Category B: Multiple possible alignments
village_Malatavadi,1034,Category B: Multiple possible alignments
village_Malatavadi,1035,Category B: Multiple possible alignments
village_Malatavadi,1036,Category E: Global shift incorrect
village_Malatavadi,1037,Category B: Multiple possible alignments
village_Malatavadi,1038,Category B: Multiple possible alignments
village_Malatavadi,1039,Category B: Multiple possible alignments
village_Malatavadi,104,Category B: Multiple possible alignments
village_Malatavadi,1040,Category D: Optimizer stuck in local optimum
village_Malatavadi,1041,Category B: Multiple possible alignments
village_Malatavadi,1042,Category B: Multiple possible alignments
village_Malatavadi,1043,Category B: Multiple possible alignments
village_Malatavadi,1044,Category B: Multiple possible alignments
village_Malatavadi,1045,Category B: Multiple possible alignments
village_Malatavadi,1046,Category B: Multiple possible alignments
village_Malatavadi,1047,Category E: Global shift incorrect
village_Malatavadi,1048,Category B: Multiple possible alignments
village_Malatavadi,1049,Category B: Multiple possible alignments
village_Malatavadi,105,Category B: Multiple possible alignments
village_Malatavadi,1050,Category B: Multiple possible alignments
village_Malatavadi,1051,Category B: Multiple possible alignments
village_Malatavadi,1052,Category B: Multiple possible alignments
village_Malatavadi,1053,Category B: Multiple possible alignments
village_Malatavadi,1054,Category B: Multiple possible alignments
village_Malatavadi,1055,Category D: Optimizer stuck in local optimum
village_Malatavadi,1056,Category G: Area mismatch
village_Malatavadi,1057,Category B: Multiple possible alignments
village_Malatavadi,1058,Category D: Optimizer stuck in local optimum
village_Malatavadi,1059,Category B: Multiple possible alignments
village_Malatavadi,106,Category B: Multiple possible alignments
village_Malatavadi,1060,Category B: Multiple possible alignments
village_Malatavadi,1061,Category B: Multiple possible alignments
village_Malatavadi,1062,Category J: Unknown
village_Malatavadi,1063,Category B: Multiple possible alignments
village_Malatavadi,1064,Category B: Multiple possible alignments
village_Malatavadi,1065,Category B: Multiple possible alignments
village_Malatavadi,1066/A,Category B: Multiple possible alignments
village_Malatavadi,1066/B,Category B: Multiple possible alignments
village_Malatavadi,1067,Category B: Multiple possible alignments
village_Malatavadi,1068,Category B: Multiple possible alignments
village_Malatavadi,1069,Category B: Multiple possible alignments
village_Malatavadi,107/A,Category B: Multiple possible alignments
village_Malatavadi,107/B,Category B: Multiple possible alignments
village_Malatavadi,1070,Category B: Multiple possible alignments
village_Malatavadi,1071,Category B: Multiple possible alignments
village_Malatavadi,1072/A,Category F: Neighbor regularization moved plot incorrectly
village_Malatavadi,1072/B,Category B: Multiple possible alignments
village_Malatavadi,1073,Category B: Multiple possible alignments
village_Malatavadi,1074,Category B: Multiple possible alignments
village_Malatavadi,1075,Category B: Multiple possible alignments
village_Malatavadi,1076,Category B: Multiple possible alignments
village_Malatavadi,1077,Category B: Multiple possible alignments
village_Malatavadi,1078,Category B: Multiple possible alignments
village_Malatavadi,1079,Category B: Multiple possible alignments
village_Malatavadi,108/A,Category B: Multiple possible alignments
village_Malatavadi,108/B,Category B: Multiple possible alignments
village_Malatavadi,1080,Category B: Multiple possible alignments
village_Malatavadi,1081,Category B: Multiple possible alignments
village_Malatavadi,1082,Category E: Global shift incorrect
village_Malatavadi,1083,Category B: Multiple possible alignments
village_Malatavadi,1084,Category B: Multiple possible alignments
village_Malatavadi,1085,Category B: Multiple possible alignments
village_Malatavadi,1086,Category B: Multiple possible alignments
village_Malatavadi,1087,Category D: Optimizer stuck in local optimum
village_Malatavadi,1088,Category B: Multiple possible alignments
village_Malatavadi,1089,Category B: Multiple possible alignments
village_Malatavadi,109,Category B: Multiple possible alignments
village_Malatavadi,1090,Category B: Multiple possible alignments
village_Malatavadi,1091,Category B: Multiple possible alignments
village_Malatavadi,1092,Category B: Multiple possible alignments
village_Malatavadi,1093,Category B: Multiple possible alignments
village_Malatavadi,1094,Category B: Multiple possible alignments
village_Malatavadi,1095,Category B: Multiple possible alignments
village_Malatavadi,1096,Category B: Multiple possible alignments
village_Malatavadi,1097,Category B: Multiple possible alignments
village_Malatavadi,1098,Category B: Multiple possible alignments
village_Malatavadi,1099,Category B: Multiple possible alignments
village_Malatavadi,11,Category B: Multiple possible alignments
village_Malatavadi,110/A,Category B: Multiple possible alignments
village_Malatavadi,110/B,Category B: Multiple possible alignments
village_Malatavadi,1100,Category B: Multiple possible alignments
village_Malatavadi,1101,Category D: Optimizer stuck in local optimum
village_Malatavadi,1102/A,Category B: Multiple possible alignments
village_Malatavadi,1102/B,Category B: Multiple possible alignments
village_Malatavadi,1103,Category B: Multiple possible alignments
village_Malatavadi,1104,Category B: Multiple possible alignments
village_Malatavadi,1105,Category B: Multiple possible alignments
village_Malatavadi,1106/A,Category B: Multiple possible alignments
village_Malatavadi,1106/B,Category G: Area mismatch
village_Malatavadi,1107,Category B: Multiple possible alignments
village_Malatavadi,1108/A,Category B: Multiple possible alignments
village_Malatavadi,1108/B,Category B: Multiple possible alignments
village_Malatavadi,1109,Category E: Global shift incorrect
village_Malatavadi,111,Category B: Multiple possible alignments
village_Malatavadi,1110/A,Category E: Global shift incorrect
village_Malatavadi,1110/B,Category B: Multiple possible alignments
village_Malatavadi,1111,Category B: Multiple possible alignments
village_Malatavadi,1112,Category B: Multiple possible alignments
village_Malatavadi,1113,Category B: Multiple possible alignments
village_Malatavadi,1114,Category B: Multiple possible alignments
village_Malatavadi,1115/1,Category B: Multiple possible alignments
village_Malatavadi,1115/10,Category B: Multiple possible alignments
village_Malatavadi,1115/11,Category B: Multiple possible alignments
village_Malatavadi,1115/12,Category B: Multiple possible alignments
village_Malatavadi,1115/13,Category B: Multiple possible alignments
village_Malatavadi,1115/14,Category B: Multiple possible alignments
village_Malatavadi,1115/15,Category B: Multiple possible alignments
village_Malatavadi,1115/2,Category B: Multiple possible alignments
village_Malatavadi,1115/3,Category E: Global shift incorrect
village_Malatavadi,1115/4,Category B: Multiple possible alignments
village_Malatavadi,1115/5,Category B: Multiple possible alignments
village_Malatavadi,1115/6,Category B: Multiple possible alignments
village_Malatavadi,1115/7,Category B: Multiple possible alignments
village_Malatavadi,1115/8,Category E: Global shift incorrect
village_Malatavadi,1115/9,Category B: Multiple possible alignments
village_Malatavadi,1116,Category B: Multiple possible alignments
village_Malatavadi,1117,Category B: Multiple possible alignments
village_Malatavadi,1118,Category E: Global shift incorrect
village_Malatavadi,1119,Category B: Multiple possible alignments
village_Malatavadi,112,Category B: Multiple possible alignments
village_Malatavadi,1120,Category B: Multiple possible alignments
village_Malatavadi,1121,Category B: Multiple possible alignments
village_Malatavadi,1122,Category B: Multiple possible alignments
village_Malatavadi,1123,Category B: Multiple possible alignments
village_Malatavadi,1124,Category E: Global shift incorrect
village_Malatavadi,1125,Category B: Multiple possible alignments
village_Malatavadi,1126,Category B: Multiple possible alignments
village_Malatavadi,1127,Category B: Multiple possible alignments
village_Malatavadi,1128,Category B: Multiple possible alignments
village_Malatavadi,1129,Category B: Multiple possible alignments
village_Malatavadi,113,Category B: Multiple possible alignments
